Purchase_Year,Original_Price,Furniture_Type,Material,Quality,Color,Condition_Years,Target_Year,Predicted_Price
2017,"₹48,132",Cabinet,Engineered Wood,High,Cream,8,2025,"₹20,719"
2021,"₹13,109",Table,Steel,Medium,Cream,4,2025,"₹5,369"
2021,"₹42,317",Dining Table,MDF,Low,Teak,4,2025,"₹10,160"
2018,"₹41,331",Dining Table,Teak Wood,High,Beige,7,2025,"₹19,768"
2022,"₹6,919",Dining Table,Teak Wood,Low,Blue,3,2025,"₹2,373"
2024,"₹45,904",Cabinet,Plastic,Low,Beige,1,2025,"₹32,132"
2015,"₹35,025",Table,MDF,Low,Blue,10,2025,"₹1,000"
2020,"₹31,656",Sofa,Plywood,High,Walnut,5,2025,"₹18,692"
2018,"₹43,548",Sofa,Engineered Wood,High,Blue,7,2025,"₹20,828"
2021,"₹19,121",Bed,Engineered Wood,Low,Grey,4,2025,"₹4,590"
2022,"₹7,131",Dresser,Wood,Medium,Walnut,3,2025,"₹3,651"
2015,"₹49,830",Chair,Steel,High,Teak,10,2025,"₹17,374"
2019,"₹5,541",Wardrobe,Plastic,Low,White,6,2025,"₹1,000"
2015,"₹36,136",Bookshelf,MDF,High,Blue,10,2025,"₹12,599"
2022,"₹29,016",Sofa,Plywood,High,Black,3,2025,"₹21,152"
2018,"₹4,365",Sofa,Plastic,High,Cream,7,2025,"₹2,087"
2016,"₹12,605",Sofa,Steel,High,Blue,9,2025,"₹4,883"
2017,"₹22,172",Chair,Wood,Medium,Grey,8,2025,"₹3,719"
2016,"₹13,554",TV Unit,Plastic,Low,Black,9,2025,"₹1,000"
2021,"₹43,893",Bed,Steel,Low,Teak,4,2025,"₹10,538"
2022,"₹13,319",Wardrobe,Wood,Medium,Grey,3,2025,"₹6,819"
2019,"₹33,686",Bookshelf,Engineered Wood,Medium,Beige,6,2025,"₹8,830"
2024,"₹27,789",Bed,Plywood,Medium,Black,1,2025,"₹22,231"
2024,"₹25,670",Bookshelf,Teak Wood,Medium,Red,1,2025,"₹20,536"
2022,"₹29,681",Bed,Steel,Low,Teak,3,2025,"₹10,180"
2021,"₹31,116",Chair,Teak Wood,Medium,Teak,4,2025,"₹12,745"
2016,"₹17,939",Bed,Plywood,Low,Walnut,9,2025,"₹1,000"
2022,"₹29,084",Dresser,Teak Wood,High,Brown,3,2025,"₹21,202"
2016,"₹25,546",Dresser,Engineered Wood,Medium,Black,9,2025,"₹3,428"
2017,"₹37,258",Bed,Teak Wood,Medium,Black,8,2025,"₹6,250"
2024,"₹32,844",Bed,Plastic,Medium,Black,1,2025,"₹26,275"
2016,"₹39,160",Dining Table,Steel,Medium,Walnut,9,2025,"₹5,255"
2023,"₹39,527",Bookshelf,MDF,Medium,Black,2,2025,"₹25,297"
2018,"₹22,377",TV Unit,Engineered Wood,Low,Teak,7,2025,"₹1,842"
2024,"₹25,306",Table,Engineered Wood,Low,Grey,1,2025,"₹17,714"
2022,"₹40,275",Bed,Engineered Wood,Medium,White,3,2025,"₹20,620"
2018,"₹40,987",Dresser,Plastic,Medium,Black,7,2025,"₹8,595"
2022,"₹40,089",TV Unit,Steel,Medium,Red,3,2025,"₹20,525"
2020,"₹18,369",Sofa,MDF,Low,Brown,5,2025,"₹3,087"
2017,"₹13,214",Bed,Plywood,High,White,8,2025,"₹5,688"
2017,"₹36,494",Bookshelf,Plywood,High,Cream,8,2025,"₹15,709"
2023,"₹17,645",Dining Table,Plywood,Low,Cream,2,2025,"₹8,646"
2017,"₹21,821",Bookshelf,MDF,Medium,Beige,8,2025,"₹3,660"
